source_file,time,Unnamed: 0,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,RmCo2,AirflowSpRht,SuplFanCmd,SuplFanState,Cooling_Stg_Cmd,Heating_Stg_Cmd
EE.csv,2025-01-27 14:30:00,0,632.485,0.0,100.0,63.02,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,0.0,69.375,57.65,67.0,69.0,68.0,68.0,1.0,1108.17,,,,
KK.csv,2025-01-27 14:30:00,0,127.13,0.0,33.5,104.48,127.13,0.0,72.0,100.0,70.0,0.0,70.0,72.0,71.175,0.0,67.0,69.0,68.0,68.0,,,,,,
DD.csv,2025-01-27 14:30:00,0,936.545,0.0,100.0,101.78,1478.98,0.0,70.0,100.0,74.0,0.0,70.0,72.0,63.95,,84.0,69.0,85.0,68.0,0.0,,1.0,-1.0,,
QQ.csv,2025-01-27 14:30:00,0,441.79,0.0,97.5,61.650000000000006,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.66,0.0,67.0,69.0,85.0,68.0,,,,,,
HH.csv,2025-01-27 14:30:00,0,643.0799999999999,0.0,100.0,87.25,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.125,,67.0,69.0,68.0,68.0,0.0,,1.0,-1.0,,
GG.csv,2025-01-27 14:30:00,0,536.075,0.0,100.0,81.31,997.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,66.94,,67.0,69.0,85.0,68.0,486.0,,1.0,-1.0,,
RR.csv,2025-01-27 14:30:00,0,66.745,0.0,17.25,64.81,63.57,0.0,70.0,13.565,74.0,0.0,70.0,72.0,70.455,0.0,67.0,69.0,68.0,68.0,,,,,,
SS.csv,2025-01-27 14:30:00,0,64.63,0.0,46.0,62.025000000000006,63.57,0.0,70.0,3.15,74.0,0.0,70.0,0.0,70.715,0.0,67.0,69.0,85.0,55.0,,,,,,
II.csv,2025-01-27 14:30:00,0,745.845,0.0,100.0,84.495,1493.81,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.21000000000001,,84.0,69.0,85.0,68.0,0.0,,1.0,-1.0,,
FF.csv,2025-01-27 14:30:00,0,952.435,0.0,100.0,93.725,1599.75,0.0,70.0,100.0,74.0,0.0,70.0,72.0,66.93,,67.0,69.0,78.0,68.0,0.0,,1.0,-1.0,,
OO.csv,2025-01-27 14:30:00,0,65.69,0.0,5.5,69.745,63.57,0.0,70.99,30.495,74.0,0.0,70.0,0.0,71.185,0.0,67.0,69.0,85.0,68.0,,,,,,
I.csv,2025-01-27 14:30:00,0,629.31,0.0,98.5,62.95,639.9,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.83,,67.0,69.0,68.0,68.0,0.0,,,,,
