time,AirFlow,Air_Flow_Diff,AirflowSpRht,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-29 07:15:00,710.5333333333333,-364.44000000000005,,0.0,100.0,64.05333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.41666666666667,-1.5699999999999932,,67.0,69.0,68.0,68.0,,
2025-01-29 07:30:00,728.8966666666666,-400.46000000000004,,0.0,100.0,63.98666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.36999999999999,-1.5900000000000034,,67.0,69.0,68.0,68.0,,
2025-01-29 07:45:00,721.8299999999999,-381.3900000000001,,0.0,100.0,64.03333333333335,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.34,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
2025-01-29 08:00:00,719.0066666666667,-379.2800000000001,,0.0,100.0,64.04666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.34666666666668,-1.6599999999999966,,67.0,69.0,68.0,68.0,,
2025-01-29 08:15:00,719.0066666666667,-400.46000000000004,,0.0,100.0,64.00333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31666666666666,-1.6599999999999966,,67.0,69.0,68.0,68.0,,
2025-01-29 08:30:00,725.3633333333333,-381.3900000000001,,0.0,100.0,64.03333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31666666666666,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 08:45:00,726.07,-387.7500000000001,,0.0,100.0,64.01333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
2025-01-29 09:00:00,716.18,-375.0400000000001,,0.0,100.0,63.946666666666665,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.28333333333335,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 09:15:00,718.3000000000001,-396.23,,0.0,100.0,64.14333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.29666666666667,-1.730000000000004,,67.0,69.0,68.0,68.0,,
2025-01-29 09:30:00,708.41,-375.0400000000001,,0.0,100.0,64.12666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 09:45:00,716.8866666666667,-406.82000000000005,,0.0,100.0,64.14999999999999,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.32,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
2025-01-29 10:00:00,711.2400000000001,-396.23,,0.0,100.0,64.10000000000001,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.32,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
2025-01-29 10:15:00,702.7633333333333,-381.3900000000001,,0.0,100.0,63.97,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31333333333333,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
2025-01-29 10:30:00,696.4066666666668,-400.46000000000004,,0.0,100.0,64.00333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.30333333333334,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 10:45:00,690.7533333333334,-404.70000000000005,,0.0,100.0,64.12666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.30333333333334,-1.7099999999999937,,67.0,69.0,68.0,68.0,,
2025-01-29 11:00:00,673.0966666666667,-425.8900000000001,,0.0,100.0,64.34,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.30333333333334,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 11:15:00,677.3366666666667,-444.96000000000004,,0.0,100.0,64.62,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31333333333333,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 11:30:00,665.3266666666667,-428.0100000000001,,0.0,100.0,64.59333333333335,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31333333333333,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 11:45:00,683.6933333333333,-453.44000000000005,,0.0,100.0,64.46666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31666666666666,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 12:00:00,687.2233333333334,-430.1300000000001,,0.0,100.0,64.43,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.31666666666666,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
