time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-29 02:30:00,900.5233333333332,2.1200000000000045,0.0,77.33333333333333,62.32333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,405.3333333333333,72.0,69.06,-0.9899999999999949,,66.97,68.99,68.0,68.0,,
2025-01-29 02:45:00,900.5233333333332,-2.1100000000000136,0.0,77.16666666666667,62.29333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,408.0,72.0,69.13,-0.8799999999999955,,66.97,68.99,68.0,68.0,,
2025-01-29 03:00:00,903.35,-6.350000000000023,0.0,77.33333333333333,62.23,900.52,0.0,70.0,100.0,73.99,0.0,70.0,402.0,72.0,69.12666666666667,-0.8700000000000045,,66.97,68.99,68.0,68.0,,
2025-01-29 03:15:00,887.8100000000001,-6.350000000000023,0.0,77.33333333333333,62.26,900.52,0.0,70.0,100.0,73.99,0.0,70.0,399.3333333333333,72.0,69.13,-0.8700000000000045,,66.97,68.99,68.0,68.0,,
2025-01-29 03:30:00,909.0,-16.949999999999932,0.0,78.0,62.39666666666667,900.52,0.0,70.0,100.0,73.99,0.0,70.0,399.3333333333333,72.0,69.14333333333333,-0.8700000000000045,,66.97,68.99,68.0,68.0,,
2025-01-29 03:45:00,890.6366666666667,6.360000000000014,0.0,78.16666666666667,62.373333333333335,900.52,0.0,70.0,100.0,73.99,0.0,70.0,399.6666666666667,72.0,69.13,-0.8700000000000045,,66.97,68.99,68.0,68.0,,
2025-01-29 04:00:00,901.23,-4.230000000000018,0.0,78.16666666666667,62.406666666666666,900.52,0.0,70.0,100.0,73.99,0.0,70.0,399.3333333333333,72.0,69.12333333333333,-0.8700000000000045,,66.97,68.99,68.0,68.0,,
2025-01-29 04:15:00,903.3466666666667,-10.590000000000032,0.0,78.0,62.370000000000005,900.52,0.0,70.0,100.0,73.99,0.0,70.0,398.0,72.0,69.14333333333333,-0.8799999999999955,,66.97,68.99,68.0,68.0,,
2025-01-29 04:30:00,905.4699999999999,0.0,0.0,78.0,62.32333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,402.6666666666667,72.0,69.15,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-29 04:45:00,893.46,14.840000000000032,0.0,78.5,62.343333333333334,900.52,0.0,70.0,100.0,73.99,0.0,70.0,415.0,72.0,69.26666666666667,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-29 05:00:00,899.1133333333333,-10.590000000000032,0.0,79.0,62.419999999999995,900.52,0.0,70.0,100.0,73.99,0.0,70.0,417.3333333333333,72.0,69.29333333333334,-0.7199999999999989,,66.97,68.99,68.0,68.0,,
2025-01-29 05:15:00,898.4033333333333,-6.350000000000023,0.0,80.83333333333333,62.51,900.52,0.0,70.0,100.0,73.99,0.0,70.0,415.3333333333333,72.0,69.27333333333333,-0.7199999999999989,,66.97,68.99,68.0,68.0,,
2025-01-29 05:30:00,899.11,-12.710000000000036,0.0,81.0,62.61333333333334,900.52,0.0,70.0,100.0,73.99,0.0,70.0,409.0,72.0,69.16333333333334,-0.7399999999999949,,66.97,68.99,68.0,68.0,,
2025-01-29 05:45:00,908.2966666666666,-10.590000000000032,0.0,81.16666666666667,62.51,900.52,0.0,70.0,100.0,73.99,0.0,70.0,413.3333333333333,72.0,69.17,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-29 06:00:00,906.1766666666666,-4.230000000000018,0.0,82.16666666666667,62.5,900.52,0.0,70.0,100.0,73.99,0.0,70.0,417.3333333333333,72.0,69.15666666666668,-0.7900000000000063,,66.97,68.99,68.0,68.0,,
2025-01-29 06:15:00,889.93,-8.470000000000027,0.0,85.33333333333333,62.73666666666667,900.52,0.0,70.0,100.0,73.99,0.0,70.0,416.6666666666667,72.0,69.15,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-29 06:30:00,906.88,-10.590000000000032,0.0,85.66666666666667,63.080000000000005,900.52,0.0,70.0,100.0,73.99,0.0,70.0,416.0,72.0,69.15,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-29 06:45:00,899.8166666666666,23.31000000000006,0.0,85.83333333333333,63.086666666666666,900.52,0.0,70.0,100.0,73.99,0.0,70.0,420.6666666666667,72.0,69.23,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-29 07:00:00,899.11,0.0,0.0,85.0,63.07333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,414.0,72.0,69.25333333333333,-0.7399999999999949,,66.97,68.99,68.0,68.0,,
