time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-28 20:30:00,478.16333333333336,0.0,0.0,3.3333333333333335,93.09333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.68333333333334,-1.1200000000000045,,84.0,69.0,78.0,68.0,,
2025-01-28 20:45:00,483.1066666666666,-19.069999999999993,0.0,3.0,93.04333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.44333333333334,-1.4099999999999966,,84.0,69.0,78.0,68.0,,
2025-01-28 21:00:00,488.05,0.0,0.0,3.0,92.97666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.46333333333332,-1.5699999999999932,,84.0,69.0,78.0,68.0,,
2025-01-28 21:15:00,490.1666666666667,4.230000000000018,0.0,2.8333333333333335,92.75666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.39999999999999,-1.5699999999999932,,84.0,69.0,78.0,68.0,,
2025-01-28 21:30:00,483.81,10.589999999999975,0.0,3.0,92.63,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.32666666666667,-1.6800000000000068,,84.0,69.0,78.0,68.0,,
2025-01-28 21:45:00,476.04333333333335,2.1100000000000136,0.0,3.0,92.58999999999999,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.27333333333333,-1.6800000000000068,,84.0,69.0,78.0,68.0,,
2025-01-28 22:00:00,481.69000000000005,-6.360000000000014,0.0,2.8333333333333335,92.57666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.12333333333333,-1.8199999999999932,,84.0,69.0,78.0,68.0,,
2025-01-28 22:15:00,479.5733333333333,-4.240000000000009,0.0,2.8333333333333335,92.44333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.04,-1.9599999999999937,,84.0,69.0,78.0,68.0,,
2025-01-28 22:30:00,483.8066666666667,6.349999999999966,0.0,3.0,92.35666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.95333333333333,-1.9500000000000028,,84.0,69.0,78.0,68.0,,
2025-01-28 22:45:00,480.9866666666667,2.1100000000000136,0.0,3.0,92.2,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.92333333333333,-2.0900000000000034,,84.0,69.0,78.0,68.0,,
2025-01-28 23:00:00,475.33666666666664,-2.1200000000000045,0.0,3.0,91.96333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.07333333333334,-2.0900000000000034,,84.0,69.0,78.0,68.0,,
2025-01-28 23:15:00,471.8066666666667,-4.240000000000009,0.0,3.3333333333333335,91.82,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.99333333333334,-1.9599999999999937,,84.0,69.0,78.0,68.0,,
2025-01-28 23:30:00,479.5733333333333,-6.360000000000014,0.0,3.5,91.69666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.84666666666668,-2.1099999999999994,,84.0,69.0,78.0,68.0,,
