time,ClgPct,ClgStg01Cmd,ClgStg02Cmd,EffRmSp,ExhAirDmprFbk,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode
2025-01-28 09:45:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.666666666666664,1.0,1.0,0.0,35.333333333333336,45.70000000000001,70.0,69.13333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 10:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.46666666666667,1.0,1.0,0.0,35.333333333333336,45.199999999999996,70.0,68.7,100.0,2.0,80.0,60.0,5.0
2025-01-28 10:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.56666666666666,1.0,1.0,0.0,36.0,45.93333333333334,70.0,68.89999999999999,100.0,2.0,80.0,60.0,5.0
2025-01-28 10:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.0,1.0,1.0,0.0,36.0,45.43333333333334,70.0,70.0,100.0,2.0,80.0,60.0,5.0
2025-01-28 10:45:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.53333333333333,1.0,1.0,0.0,36.0,45.26666666666667,70.0,68.7,100.0,2.0,80.0,60.0,5.0
2025-01-28 11:00:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.300000000000004,1.0,1.0,0.0,36.0,45.76666666666667,70.0,68.33333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 11:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.93333333333334,1.0,1.0,0.0,36.666666666666664,46.6,70.0,69.89999999999999,100.0,2.0,80.0,60.0,5.0
2025-01-28 11:30:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.46666666666667,1.0,1.0,0.0,36.666666666666664,45.6,70.0,68.89999999999999,100.0,2.0,80.0,60.0,5.0
2025-01-28 11:45:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.199999999999996,1.0,1.0,0.0,37.333333333333336,45.6,70.0,68.2,100.0,2.0,80.0,60.0,5.0
2025-01-28 12:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,37.0,46.699999999999996,70.0,69.5,100.0,2.0,80.0,60.0,5.0
2025-01-28 12:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.56666666666666,1.0,1.0,0.0,38.0,44.699999999999996,70.0,69.16666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 12:30:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,61.96666666666667,1.0,1.0,0.0,38.0,43.96666666666667,70.0,68.06666666666668,100.0,2.0,80.0,60.0,5.0
2025-01-28 12:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.46666666666667,1.0,1.0,0.0,38.0,44.833333333333336,70.0,69.60000000000001,100.0,2.0,80.0,60.0,5.0
2025-01-28 13:00:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.333333333333336,1.0,1.0,0.0,39.0,44.76666666666667,70.0,68.86666666666666,100.0,2.0,80.0,60.0,5.0
2025-01-28 13:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.1,1.0,1.0,0.0,38.0,45.833333333333336,70.0,68.43333333333332,100.0,2.0,80.0,60.0,5.0
2025-01-28 13:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.76666666666667,1.0,1.0,0.0,38.333333333333336,45.93333333333334,70.0,69.89999999999999,100.0,2.0,80.0,60.0,5.0
2025-01-28 13:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.23333333333333,1.0,1.0,0.0,37.666666666666664,46.833333333333336,70.0,68.3,100.0,2.0,80.0,60.0,5.0
2025-01-28 14:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.29999999999999,1.0,1.0,0.0,36.0,47.0,70.0,68.1,100.0,2.0,80.0,60.0,5.0
2025-01-28 14:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.1,1.0,1.0,0.0,35.0,47.73333333333333,70.0,68.1,100.0,2.0,80.0,60.0,
2025-01-28 14:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.1,1.0,1.0,0.0,35.0,48.333333333333336,70.0,68.1,100.0,2.0,80.0,60.0,
2025-01-28 14:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.36666666666667,1.0,1.0,0.0,34.0,49.46666666666667,70.0,68.1,100.0,2.0,80.0,60.0,
2025-01-28 15:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,33.0,50.43333333333334,70.0,68.1,100.0,2.0,80.0,60.0,
2025-01-28 15:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.70000000000001,1.0,1.0,0.0,32.333333333333336,51.73333333333333,70.0,68.1,100.0,2.0,80.0,60.0,
2025-01-28 15:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.76666666666667,1.0,1.0,0.0,32.0,52.03333333333333,70.0,68.43333333333334,100.0,2.0,80.0,60.0,
2025-01-28 15:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.0,1.0,1.0,0.0,32.0,52.26666666666667,70.0,69.10000000000001,100.0,2.0,80.0,60.0,
2025-01-28 16:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.36666666666667,1.0,1.0,0.0,31.666666666666668,53.46666666666667,70.0,69.4,100.0,2.0,80.0,60.0,
2025-01-28 16:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.5,1.0,1.0,0.0,31.0,53.36666666666667,70.0,69.4,100.0,2.0,80.0,60.0,
2025-01-28 16:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.666666666666664,1.0,1.0,0.0,31.0,54.23333333333333,70.0,69.4,100.0,2.0,80.0,60.0,
2025-01-28 16:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,63.86666666666667,1.0,1.0,0.0,30.666666666666668,55.26666666666667,70.0,69.46666666666667,100.0,2.0,80.0,60.0,
2025-01-28 17:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,64.06666666666666,1.0,1.0,0.0,30.0,55.73333333333333,70.0,69.7,100.0,2.0,80.0,60.0,
2025-01-28 17:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,64.2,1.0,1.0,0.0,30.0,56.93333333333334,70.0,69.7,100.0,2.0,80.0,60.0,
2025-01-28 17:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,64.2,1.0,1.0,0.0,29.0,57.76666666666667,70.0,69.7,100.0,2.0,80.0,60.0,
2025-01-28 17:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,64.36666666666666,1.0,1.0,0.0,29.0,58.5,70.0,69.83333333333333,100.0,2.0,80.0,60.0,
2025-01-28 18:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,64.53333333333333,1.0,1.0,0.0,28.0,58.333333333333336,70.0,70.03333333333333,100.0,2.0,80.0,60.0,
2025-01-28 18:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,64.66666666666667,1.0,1.0,0.0,28.0,59.166666666666664,70.0,70.16666666666667,100.0,2.0,80.0,60.0,
2025-01-28 18:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,64.93333333333334,1.0,1.0,0.0,28.0,60.0,70.0,70.56666666666666,100.0,2.0,80.0,60.0,
2025-01-28 18:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.0,1.0,1.0,0.0,28.0,59.6,70.0,70.8,100.0,2.0,80.0,60.0,
2025-01-28 19:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.06666666666666,1.0,1.0,0.0,28.0,60.6,70.0,70.56666666666666,100.0,2.0,80.0,60.0,
2025-01-28 19:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.1,1.0,1.0,0.0,28.0,61.03333333333333,70.0,70.23333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 19:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.333333333333332,61.26666666666667,70.0,69.86666666666666,100.0,2.0,80.0,60.0,5.0
2025-01-28 19:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.0,60.43333333333334,70.0,69.76666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 20:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.0,61.06666666666666,70.0,69.7,100.0,2.0,80.0,60.0,5.0
2025-01-28 20:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.16666666666667,1.0,1.0,0.0,27.0,61.96666666666667,70.0,69.7,100.0,2.0,80.0,60.0,5.0
2025-01-28 20:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.3,1.0,1.0,0.0,27.0,62.13333333333333,70.0,69.46666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 20:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.23333333333333,1.0,1.0,0.0,27.0,62.0,70.0,69.4,100.0,2.0,80.0,60.0,5.0
2025-01-28 21:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,65.1,1.0,1.0,0.0,27.333333333333332,60.333333333333336,70.0,69.26666666666667,100.0,2.0,80.0,60.0,5.0
