time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,SuplFanSts,UnoccClgSp,UnoccHtgSp,oppMode
2025-02-10 21:15:00,-0.01,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.626666666666665,69.10333333333334,100.0,0.38999999999999996,64.25,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 21:30:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,45.26,69.14666666666666,100.0,0.39666666666666667,64.42666666666666,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 21:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.99,69.17,100.0,0.4033333333333333,64.28333333333333,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 22:00:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.93,69.14333333333333,100.0,0.39333333333333337,64.19333333333334,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 22:15:00,-0.013333333333333334,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.48666666666666,69.12666666666667,100.0,0.39333333333333337,63.99,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 22:30:00,0.006666666666666667,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.02333333333333,69.00666666666667,100.0,0.39666666666666667,63.61333333333334,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 22:45:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,43.403333333333336,68.93666666666667,100.0,0.38999999999999996,63.276666666666664,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 23:00:00,-0.006666666666666667,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,43.18,68.79333333333334,100.0,0.38999999999999996,63.07,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 23:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,42.626666666666665,68.65666666666667,100.0,0.3833333333333333,62.75666666666667,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 23:30:00,-0.006666666666666667,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,42.303333333333335,68.49666666666667,100.0,0.35333333333333333,62.53,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 23:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.949999999999996,68.32666666666667,100.0,0.3499999999999999,62.35999999999999,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 00:00:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.29333333333333,68.22666666666667,100.0,0.3433333333333333,62.11000000000001,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 00:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.343333333333334,68.15333333333334,100.0,0.3466666666666667,62.02,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 00:30:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.22,68.08333333333333,100.0,0.3433333333333333,61.90333333333333,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 00:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.803333333333335,68.05,100.0,0.3433333333333333,61.74,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 01:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.556666666666665,68.02,100.0,0.33666666666666667,61.60666666666666,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 01:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.66,68.01666666666667,100.0,0.34,61.69,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 01:30:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.32333333333333,68.0,100.0,0.3433333333333333,61.556666666666665,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-11 01:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.98,67.96333333333332,100.0,0.3466666666666667,61.46,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
