,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,SaTemp,StbyClgSp,StbyHtgSp,SuplFanCmd,SuplFanState,UnoccClgSp,UnoccHtgSp,oppMode
73,2025-01-28 22:45:00,906.1766666666666,0.0,100.0,82.20333333333333,1607.5233333333333,0.0,70.0,86.56,74.0,0.0,70.0,0.0,72.0,69.82666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
74,2025-01-28 23:00:00,907.5866666666668,0.0,100.0,84.25,1621.6466666666668,0.0,70.0,87.89,74.0,0.0,70.0,0.0,72.0,69.83333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
75,2025-01-28 23:15:00,897.6999999999999,0.0,100.0,84.00666666666666,1635.7766666666666,0.0,70.0,89.02666666666666,74.0,0.0,70.0,0.0,72.0,69.83333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
76,2025-01-28 23:30:00,887.8100000000001,0.0,100.0,83.81666666666668,1665.4399999999998,0.0,70.0,91.55333333333334,74.0,0.0,70.0,0.0,72.0,69.77666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
77,2025-01-28 23:45:00,880.0433333333334,0.0,100.0,87.09333333333332,1695.1033333333332,0.0,70.0,94.10333333333334,74.0,0.0,70.0,0.0,72.0,69.73,,67.0,69.0,1.0,-1.0,68.0,68.0,
78,2025-01-29 00:00:00,880.0433333333334,0.0,100.0,87.7,1695.1033333333332,0.0,70.0,94.02333333333333,74.0,0.0,70.0,0.0,72.0,69.80666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
79,2025-01-29 00:15:00,881.4566666666666,0.0,100.0,87.94666666666667,1700.0466666666664,0.0,70.0,94.55,74.0,0.0,70.0,0.0,72.0,69.84333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
80,2025-01-29 00:30:00,878.6300000000001,0.0,100.0,87.69666666666666,1711.35,0.0,70.0,95.52,74.0,0.0,70.0,0.0,72.0,69.84333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
81,2025-01-29 00:45:00,883.5733333333333,0.0,100.0,87.68666666666667,1733.2399999999998,0.0,70.0,97.31,74.0,0.0,70.0,0.0,72.0,69.82,,67.0,69.0,1.0,-1.0,68.0,68.0,
82,2025-01-29 01:00:00,871.5666666666666,0.0,100.0,87.45333333333333,1754.4333333333334,0.0,70.0,99.08666666666666,74.0,0.0,70.0,0.0,72.0,69.78333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
83,2025-01-29 01:15:00,885.6933333333333,0.0,100.0,87.55,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.71,,67.0,69.0,1.0,-1.0,68.0,68.0,
84,2025-01-29 01:30:00,878.63,0.0,100.0,87.56,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.69666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
85,2025-01-29 01:45:00,872.2733333333334,0.0,100.0,87.67999999999999,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.69,,67.0,69.0,1.0,-1.0,68.0,68.0,
86,2025-01-29 02:00:00,858.1466666666666,0.0,100.0,87.54,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.62666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
87,2025-01-29 02:15:00,851.0833333333334,0.0,100.0,87.93,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.66333333333334,,67.0,69.0,1.0,-1.0,68.0,68.0,
88,2025-01-29 02:30:00,851.79,0.0,100.0,87.93666666666667,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.69666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
89,2025-01-29 02:45:00,850.3766666666667,0.0,100.0,88.02,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.70333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
90,2025-01-29 03:00:00,838.37,0.0,100.0,87.92,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.67333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
