,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
86,2025-01-29 02:00:00,484.51666666666665,0.0,4.166666666666667,91.25666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.33999999999999,84.0,69.0,78.0,68.0
87,2025-01-29 02:15:00,469.6833333333333,0.0,4.333333333333333,91.51666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.24666666666667,84.0,69.0,78.0,68.0
88,2025-01-29 02:30:00,480.9866666666667,0.0,4.5,91.58,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.32666666666667,84.0,69.0,78.0,68.0
89,2025-01-29 02:45:00,478.8666666666666,0.0,4.5,91.51333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.34666666666668,84.0,69.0,78.0,68.0
90,2025-01-29 03:00:00,485.9266666666667,0.0,4.5,91.55666666666669,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.24,84.0,69.0,78.0,68.0
91,2025-01-29 03:15:00,482.4,0.0,4.666666666666667,91.58,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.23666666666666,84.0,69.0,78.0,68.0
92,2025-01-29 03:30:00,482.3966666666667,0.0,4.833333333333333,91.91333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.33666666666666,84.0,69.0,78.0,68.0
93,2025-01-29 03:45:00,481.69,0.0,5.0,91.86333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.34333333333333,84.0,69.0,78.0,68.0
94,2025-01-29 04:00:00,483.1066666666666,0.0,5.0,91.88333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.24,84.0,69.0,78.0,68.0
95,2025-01-29 04:15:00,473.92333333333335,0.0,4.833333333333333,91.93333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.52333333333333,84.0,69.0,78.0,68.0
96,2025-01-29 04:30:00,475.3366666666666,0.0,5.0,91.79333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.62,84.0,69.0,78.0,68.0
97,2025-01-29 04:45:00,466.86,0.0,5.0,91.87666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.64999999999999,84.0,69.0,78.0,68.0
98,2025-01-29 05:00:00,474.6266666666666,0.0,5.333333333333333,92.05333333333331,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.54666666666667,84.0,69.0,78.0,68.0
99,2025-01-29 05:15:00,483.81,0.0,6.0,92.28333333333336,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.43666666666667,84.0,69.0,78.0,68.0
100,2025-01-29 05:30:00,480.98333333333335,0.0,5.833333333333333,92.39333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.35666666666667,84.0,69.0,78.0,68.0
101,2025-01-29 05:45:00,492.99,0.0,6.333333333333333,92.48,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.31333333333333,84.0,69.0,78.0,68.0
102,2025-01-29 06:00:00,492.2866666666666,0.0,6.666666666666667,92.48,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.35666666666667,84.0,69.0,78.0,68.0
103,2025-01-29 06:15:00,480.28,0.0,8.5,92.88333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.43666666666667,84.0,69.0,78.0,68.0
104,2025-01-29 06:30:00,477.4533333333334,0.0,8.333333333333334,93.22333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.66000000000001,84.0,69.0,78.0,68.0
105,2025-01-29 06:45:00,480.2766666666666,0.0,8.666666666666666,93.27666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.78333333333333,84.0,69.0,78.0,68.0
106,2025-01-29 07:00:00,486.6333333333334,0.0,7.166666666666667,93.11,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.89,84.0,69.0,78.0,68.0
107,2025-01-29 07:15:00,473.92333333333335,0.0,8.166666666666666,93.05666666666669,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.99666666666667,84.0,69.0,78.0,68.0
108,2025-01-29 07:30:00,482.3966666666667,0.0,8.833333333333334,93.11,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.06666666666666,84.0,69.0,78.0,68.0
109,2025-01-29 07:45:00,478.8666666666666,0.0,7.333333333333333,93.05666666666669,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.20333333333333,84.0,69.0,78.0,68.0
110,2025-01-29 08:00:00,467.5633333333333,0.0,8.333333333333334,93.23,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.28666666666668,84.0,69.0,78.0,68.0
111,2025-01-29 08:15:00,490.87000000000006,0.0,8.333333333333334,93.02333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.29666666666667,84.0,69.0,78.0,68.0
112,2025-01-29 08:30:00,473.92,0.0,8.666666666666666,93.18666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.39999999999999,84.0,69.0,78.0,68.0
113,2025-01-29 08:45:00,483.81,0.0,8.166666666666666,93.10333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.41333333333334,84.0,69.0,78.0,68.0
114,2025-01-29 09:00:00,490.1666666666667,0.0,7.833333333333333,92.99,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.34,84.0,69.0,78.0,68.0
115,2025-01-29 09:15:00,480.28,0.0,8.166666666666666,93.21999999999998,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.41333333333334,84.0,69.0,78.0,68.0
116,2025-01-29 09:30:00,481.69,0.0,9.5,93.15000000000002,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.43666666666667,84.0,69.0,78.0,68.0
117,2025-01-29 09:45:00,471.0966666666666,0.0,8.5,93.21,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.45,84.0,69.0,78.0,68.0
118,2025-01-29 10:00:00,473.92,0.0,9.0,93.06333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.47,84.0,69.0,78.0,68.0
119,2025-01-29 10:15:00,477.45666666666665,0.0,9.333333333333334,93.03666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.45666666666666,84.0,69.0,78.0,68.0
120,2025-01-29 10:30:00,478.8666666666666,0.0,9.5,93.05,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.51333333333334,84.0,69.0,78.0,68.0
121,2025-01-29 10:45:00,478.16,0.0,9.833333333333334,93.14666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.62666666666667,84.0,69.0,78.0,68.0
122,2025-01-29 11:00:00,483.1000000000001,0.0,10.5,93.22333333333331,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.75,84.0,69.0,78.0,68.0
123,2025-01-29 11:15:00,481.69000000000005,0.0,11.0,93.29,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.91666666666667,84.0,69.0,78.0,68.0
124,2025-01-29 11:30:00,478.16,0.0,11.0,93.05333333333331,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.00333333333333,84.0,69.0,78.0,68.0
125,2025-01-29 11:45:00,478.8666666666666,0.0,10.666666666666666,92.93666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.17,84.0,69.0,78.0,68.0
126,2025-01-29 12:00:00,478.8633333333334,0.0,10.833333333333334,93.02,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.29666666666667,84.0,69.0,78.0,68.0
127,2025-01-29 12:15:00,473.2133333333333,0.0,10.5,92.91666666666669,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.31666666666666,84.0,69.0,78.0,68.0
128,2025-01-29 12:30:00,478.8666666666666,0.0,11.0,92.95333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.4,84.0,69.0,78.0,68.0
129,2025-01-29 12:45:00,482.3966666666667,0.0,11.0,93.07333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.40666666666668,84.0,69.0,78.0,68.0
130,2025-01-29 13:00:00,480.28,0.0,11.0,93.23333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.41000000000001,84.0,69.0,78.0,68.0
131,2025-01-29 13:15:00,476.7466666666666,0.0,11.166666666666666,93.23,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.49333333333334,84.0,69.0,78.0,68.0
132,2025-01-29 13:30:00,480.28,0.0,11.0,93.41,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.49,84.0,69.0,78.0,68.0
133,2025-01-29 13:45:00,485.93,0.0,11.166666666666666,93.52333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.42666666666666,84.0,69.0,78.0,68.0
134,2025-01-29 14:00:00,473.2166666666667,0.0,11.166666666666666,93.70666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.33,84.0,69.0,78.0,68.0
135,2025-01-29 14:15:00,480.98333333333335,0.0,11.333333333333334,93.90333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.29,84.0,69.0,78.0,68.0
136,2025-01-29 14:30:00,490.8733333333333,0.0,11.333333333333334,94.05333333333331,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.11333333333333,84.0,69.0,78.0,68.0
137,2025-01-29 14:45:00,479.5733333333333,0.0,11.5,94.25333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.01666666666667,84.0,69.0,78.0,68.0
138,2025-01-29 15:00:00,484.51666666666665,0.0,11.333333333333334,94.46666666666664,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.93333333333334,84.0,69.0,78.0,68.0
139,2025-01-29 15:15:00,483.1033333333333,0.0,11.333333333333334,94.7,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.99666666666667,84.0,69.0,78.0,68.0
140,2025-01-29 15:30:00,478.87000000000006,0.0,11.666666666666666,94.85333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.02333333333333,84.0,69.0,78.0,68.0
141,2025-01-29 15:45:00,480.9866666666667,0.0,11.333333333333334,94.99,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.04,84.0,69.0,78.0,68.0
142,2025-01-29 16:00:00,475.3366666666666,0.0,11.5,95.18666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.15,84.0,69.0,78.0,68.0
143,2025-01-29 16:15:00,477.45666666666665,0.0,11.5,95.20333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.2,84.0,69.0,78.0,68.0
144,2025-01-29 16:30:00,471.8033333333333,0.0,9.333333333333334,95.06666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.28,84.0,69.0,78.0,68.0
145,2025-01-29 16:45:00,478.8666666666666,0.0,8.666666666666666,94.55,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.32333333333334,84.0,69.0,78.0,68.0
146,2025-01-29 17:00:00,480.2766666666666,0.0,5.333333333333333,93.59666666666664,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.28,84.0,69.0,78.0,68.0
147,2025-01-29 17:15:00,472.50666666666666,0.0,5.666666666666667,93.56,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.23666666666666,84.0,69.0,78.0,68.0
148,2025-01-29 17:30:00,482.4,0.0,5.333333333333333,93.96333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.41333333333334,84.0,69.0,78.0,68.0
149,2025-01-29 17:45:00,473.92333333333335,0.0,5.5,94.08666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.40333333333334,84.0,69.0,78.0,68.0
150,2025-01-29 18:00:00,479.5733333333333,0.0,4.833333333333333,93.93666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.37,84.0,69.0,78.0,68.0
