,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,oppMode
85,2025-01-29 01:45:00,65.68666666666667,0.0,44.833333333333336,67.59,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.68,,67.0,69.0,85.0,55.0,
86,2025-01-29 02:00:00,64.98,0.0,44.66666666666666,67.46,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.66333333333334,,67.0,69.0,85.0,55.0,
87,2025-01-29 02:15:00,63.57,0.0,44.66666666666666,67.56,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.64333333333333,,67.0,69.0,85.0,55.0,
88,2025-01-29 02:30:00,65.69,0.0,44.5,67.46,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.59666666666666,,67.0,69.0,85.0,55.0,
89,2025-01-29 02:45:00,65.69,0.0,44.5,67.36999999999999,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.54,,67.0,69.0,85.0,55.0,
90,2025-01-29 03:00:00,65.68333333333334,0.0,44.5,67.43666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.54,,67.0,69.0,85.0,55.0,
91,2025-01-29 03:15:00,64.27333333333333,0.0,44.0,67.48333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.52666666666666,,67.0,69.0,85.0,55.0,
92,2025-01-29 03:30:00,65.68333333333334,0.0,45.16666666666666,67.38333333333334,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.52,,67.0,69.0,85.0,55.0,
93,2025-01-29 03:45:00,64.27666666666666,0.0,44.66666666666666,67.43,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.51333333333334,,67.0,69.0,85.0,55.0,
94,2025-01-29 04:00:00,65.69,0.0,45.16666666666666,67.55666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.5,,67.0,69.0,85.0,55.0,
